"id_noticia"|"id_tipo"|"id_pais"|"id_fuente"|"id_autor"|"real_fake_integer"|"tiempo"|"compartir_tiempo"|"compartir"|"visitas"|"duracion"|"favorito"
"10060"|"10"|"14"|"22"|"25"|"0"|"2022-09-06 15:00:00"|"2022-09-15 18:00:00"|"77427"|"391973"|"99"|"2550"
"10061"|"4"|"0"|"23"|"16"|"1"|"2022-09-05 10:00:00"|"2022-09-30 08:00:00"|"70643"|"551417"|"265"|"6780"
"10062"|"12"|"13"|"17"|"26"|"1"|"2022-09-13 13:00:00"|"2022-10-01 16:00:00"|"49416"|"31389"|"39"|"5167"
"10063"|"4"|"27"|"4"|"17"|"0"|"2022-09-04 03:00:00"|"2022-09-25 13:00:00"|"54532"|"162113"|"267"|"5758"
"10064"|"4"|"16"|"14"|"27"|"0"|"2022-10-05 16:00:00"|"2022-10-08 22:00:00"|"20134"|"298705"|"349"|"4104"
"10065"|"9"|"28"|"12"|"9"|"1"|"2022-09-29 05:00:00"|"2022-09-29 10:00:00"|"94265"|"667992"|"501"|"2095"
"10068"|"11"|"3"|"0"|"24"|"0"|"2022-09-24 05:00:00"|"2022-09-24 21:00:00"|"61785"|"423269"|"128"|"1983"
"10069"|"4"|"1"|"10"|"13"|"1"|"2022-09-29 01:00:00"|"2022-10-08 17:00:00"|"63403"|"507897"|"217"|"3465"
"10070"|"9"|"21"|"21"|"9"|"1"|"2022-09-10 08:00:00"|"2022-10-07 15:00:00"|"69052"|"434356"|"244"|"8394"
"10071"|"13"|"6"|"7"|"18"|"0"|"2022-09-08 20:00:00"|"2022-09-23 07:00:00"|"56029"|"871967"|"90"|"1253"
"10072"|"14"|"29"|"4"|"24"|"0"|"2022-09-14 04:00:00"|"2022-09-19 13:00:00"|"58251"|"789629"|"142"|"0"
"10074"|"4"|"13"|"14"|"28"|"1"|"2022-09-10 10:00:00"|"2022-10-08 18:00:00"|"55958"|"961253"|"257"|"4957"
"10075"|"4"|"30"|"21"|"25"|"1"|"2022-09-13 02:00:00"|"2022-09-24 11:00:00"|"5810"|"656766"|"340"|"2935"
"10076"|"4"|"31"|"16"|"20"|"0"|"2022-09-04 08:00:00"|"2022-09-04 20:00:00"|"39213"|"197960"|"330"|"1803"
"10078"|"4"|"8"|"13"|"9"|"0"|"2022-09-12 15:00:00"|"2022-09-22 10:00:00"|"43335"|"290929"|"251"|"3756"
"10079"|"11"|"11"|"9"|"29"|"0"|"2022-09-08 00:00:00"|"2022-09-13 07:00:00"|"88302"|"549442"|"296"|"6872"
"10083"|"3"|"10"|"8"|"10"|"1"|"2022-09-14 13:00:00"|"2022-10-10 19:00:00"|"51594"|"790804"|"80"|"6236"
"10085"|"13"|"32"|"24"|"16"|"0"|"2022-09-04 14:00:00"|"2022-09-10 03:00:00"|"43590"|"575582"|"109"|"5003"
"10086"|"9"|"14"|"15"|"9"|"1"|"2022-09-19 20:00:00"|"2022-09-25 06:00:00"|"47262"|"205706"|"118"|"3282"
"10087"|"4"|"33"|"5"|"22"|"0"|"2022-09-04 13:00:00"|"2022-09-30 23:00:00"|"58667"|"870602"|"443"|"4728"
"10088"|"15"|"1"|"25"|"13"|"1"|"2022-09-15 14:00:00"|"2022-10-09 11:00:00"|"4585"|"464094"|"18"|"3672"
"10089"|"11"|"8"|"11"|"0"|"0"|"2022-09-07 16:00:00"|"2022-09-09 15:00:00"|"50814"|"196749"|"95"|"2385"
"1009"|"16"|"21"|"12"|"23"|"1"|"2022-09-20 02:00:00"|"2022-10-03 13:00:00"|"22194"|"261904"|"39"|"8807"
"10091"|"9"|"7"|"15"|"20"|"1"|"2022-09-12 06:00:00"|"2022-09-19 10:00:00"|"61630"|"630196"|"157"|"4456"
"10092"|"6"|"28"|"5"|"9"|"0"|"2022-09-05 04:00:00"|"2022-09-09 03:00:00"|"78674"|"357887"|"141"|"4866"
"10096"|"17"|"27"|"6"|"29"|"1"|"2022-09-24 14:00:00"|"2022-10-04 04:00:00"|"43344"|"933050"|"24"|"2791"
"10097"|"5"|"22"|"8"|"1"|"1"|"2022-09-09 05:00:00"|"2022-10-01 10:00:00"|"4839"|"200201"|"143"|"7111"
"10098"|"4"|"33"|"17"|"13"|"1"|"2022-09-30 12:00:00"|"2022-10-09 11:00:00"|"2329"|"738298"|"223"|"711"
"101"|"10"|"13"|"18"|"1"|"1"|"2022-09-27 22:00:00"|"2022-10-10 08:00:00"|"12535"|"740725"|"306"|"9890"
"1010"|"16"|"3"|"14"|"30"|"1"|"2022-09-14 00:00:00"|"2022-09-30 06:00:00"|"72493"|"802644"|"147"|"2746"
"10100"|"15"|"26"|"24"|"28"|"0"|"2022-09-10 08:00:00"|"2022-09-23 13:00:00"|"81189"|"334"|"513"|"5853"
"10101"|"2"|"7"|"13"|"17"|"1"|"2022-09-09 07:00:00"|"2022-09-29 17:00:00"|"93213"|"599506"|"17"|"1728"
"10102"|"9"|"1"|"17"|"13"|"0"|"2022-09-20 10:00:00"|"2022-09-29 13:00:00"|"44972"|"958974"|"166"|"4624"
"10105"|"14"|"14"|"8"|"22"|"1"|"2022-09-28 23:00:00"|"2022-10-02 16:00:00"|"82208"|"29765"|"507"|"5269"
"10107"|"6"|"0"|"5"|"3"|"1"|"2022-09-10 17:00:00"|"2022-09-18 20:00:00"|"12104"|"852734"|"656"|"3959"
"10109"|"18"|"27"|"21"|"0"|"0"|"2022-09-29 12:00:00"|"2022-10-10 06:00:00"|"1973"|"486705"|"291"|"196"
"10111"|"19"|"33"|"26"|"4"|"1"|"2022-09-28 06:00:00"|"2022-10-03 04:00:00"|"50721"|"879146"|"126"|"4557"
"10112"|"4"|"15"|"9"|"3"|"1"|"2022-09-18 10:00:00"|"2022-09-20 13:00:00"|"44633"|"303905"|"469"|"3010"
"10113"|"4"|"20"|"27"|"0"|"1"|"2022-09-29 10:00:00"|"2022-10-01 05:00:00"|"50192"|"560039"|"184"|"7151"
"10116"|"10"|"6"|"12"|"10"|"0"|"2022-09-23 14:00:00"|"2022-09-27 22:00:00"|"72621"|"736312"|"149"|"9436"
"1012"|"1"|"33"|"9"|"22"|"0"|"2022-09-27 02:00:00"|"2022-09-27 18:00:00"|"48514"|"704330"|"10"|"8964"
"10120"|"4"|"30"|"15"|"24"|"1"|"2022-09-14 22:00:00"|"2022-09-26 17:00:00"|"35331"|"754137"|"191"|"3211"
"10122"|"4"|"14"|"20"|"13"|"1"|"2022-09-04 12:00:00"|"2022-09-27 12:00:00"|"5598"|"329825"|"334"|"2462"
"10124"|"3"|"16"|"6"|"5"|"1"|"2022-09-10 01:00:00"|"2022-09-26 18:00:00"|"57156"|"147009"|"382"|"2254"
"10126"|"16"|"6"|"1"|"19"|"0"|"2022-09-01 10:00:00"|"2022-09-12 01:00:00"|"8340"|"782687"|"154"|"4397"
"10128"|"4"|"34"|"19"|"8"|"1"|"2022-10-08 02:00:00"|"2022-10-10 21:00:00"|"48911"|"959455"|"213"|"9203"
"10129"|"4"|"21"|"4"|"17"|"1"|"2022-09-05 12:00:00"|"2022-10-10 20:00:00"|"32036"|"583211"|"302"|"4822"
"10130"|"9"|"23"|"25"|"31"|"1"|"2022-09-11 08:00:00"|"2022-10-08 21:00:00"|"50016"|"158256"|"255"|"4456"
"10132"|"4"|"16"|"14"|"9"|"1"|"2022-09-09 10:00:00"|"2022-09-13 12:00:00"|"70095"|"755690"|"19"|"5565"
"10133"|"11"|"10"|"13"|"32"|"1"|"2022-09-01 16:00:00"|"2022-09-26 13:00:00"|"98866"|"939466"|"321"|"6516"
"10135"|"19"|"27"|"18"|"28"|"1"|"2022-09-08 11:00:00"|"2022-10-02 14:00:00"|"28514"|"501930"|"274"|"1929"
"10138"|"20"|"11"|"18"|"24"|"1"|"2022-10-01 01:00:00"|"2022-10-07 15:00:00"|"51400"|"370108"|"99"|"7765"
"10139"|"4"|"12"|"27"|"20"|"0"|"2022-09-05 17:00:00"|"2022-09-09 19:00:00"|"93911"|"487487"|"281"|"8679"
"1014"|"3"|"23"|"28"|"9"|"0"|"2022-09-24 11:00:00"|"2022-10-10 07:00:00"|"59608"|"981946"|"367"|"8908"
"10140"|"12"|"30"|"29"|"10"|"1"|"2022-09-19 05:00:00"|"2022-09-22 02:00:00"|"71305"|"116918"|"178"|"2518"
"10142"|"4"|"13"|"21"|"21"|"1"|"2022-09-10 05:00:00"|"2022-09-13 22:00:00"|"96927"|"710817"|"184"|"1102"
"10143"|"20"|"17"|"28"|"32"|"0"|"2022-09-24 22:00:00"|"2022-10-08 17:00:00"|"45070"|"567597"|"121"|"9532"
"10144"|"4"|"5"|"0"|"13"|"0"|"2022-09-10 06:00:00"|"2022-09-21 06:00:00"|"74268"|"669188"|"497"|"7301"
"10145"|"4"|"21"|"30"|"23"|"1"|"2022-09-07 01:00:00"|"2022-09-10 16:00:00"|"85244"|"31727"|"54"|"4721"
"10147"|"4"|"22"|"10"|"22"|"1"|"2022-09-05 11:00:00"|"2022-09-08 20:00:00"|"93360"|"979756"|"266"|"228"
"10148"|"4"|"12"|"30"|"9"|"1"|"2022-09-07 21:00:00"|"2022-09-16 19:00:00"|"69311"|"876387"|"253"|"7729"
"10149"|"3"|"6"|"5"|"9"|"1"|"2022-09-12 23:00:00"|"2022-10-10 19:00:00"|"37144"|"996511"|"105"|"6073"
"10151"|"4"|"13"|"0"|"2"|"0"|"2022-09-09 02:00:00"|"2022-09-15 13:00:00"|"15082"|"616122"|"199"|"5103"
"10152"|"4"|"15"|"23"|"12"|"1"|"2022-10-05 07:00:00"|"2022-10-06 19:00:00"|"11855"|"498531"|"189"|"1643"
"10155"|"4"|"0"|"28"|"10"|"1"|"2022-10-08 03:00:00"|"2022-10-09 22:00:00"|"89577"|"707421"|"312"|"3799"
"10156"|"4"|"18"|"30"|"3"|"1"|"2022-10-03 13:00:00"|"2022-10-07 07:00:00"|"84028"|"107803"|"390"|"3951"
"10157"|"0"|"27"|"29"|"2"|"1"|"2022-09-08 13:00:00"|"2022-09-09 17:00:00"|"50260"|"530743"|"70"|"6330"
"1016"|"4"|"26"|"25"|"9"|"0"|"2022-09-13 16:00:00"|"2022-09-29 07:00:00"|"79220"|"857408"|"75"|"5594"
"10160"|"4"|"32"|"4"|"22"|"0"|"2022-09-08 16:00:00"|"2022-10-09 01:00:00"|"10725"|"326281"|"415"|"428"
"10161"|"4"|"12"|"10"|"18"|"0"|"2022-09-10 16:00:00"|"2022-09-17 23:00:00"|"35758"|"72188"|"322"|"0"
"10163"|"15"|"9"|"7"|"9"|"0"|"2022-09-27 04:00:00"|"2022-09-30 12:00:00"|"59332"|"736736"|"354"|"7646"
"10164"|"4"|"4"|"8"|"24"|"1"|"2022-09-10 01:00:00"|"2022-10-01 00:00:00"|"61410"|"21200"|"75"|"6860"
"10166"|"4"|"0"|"21"|"33"|"1"|"2022-09-08 21:00:00"|"2022-09-21 19:00:00"|"43313"|"561424"|"418"|"1566"
"10167"|"4"|"19"|"2"|"13"|"0"|"2022-10-01 00:00:00"|"2022-10-01 17:00:00"|"97028"|"834846"|"168"|"1860"
"10170"|"13"|"27"|"11"|"9"|"0"|"2022-09-07 18:00:00"|"2022-10-01 00:00:00"|"47749"|"236624"|"163"|"9099"
"10171"|"7"|"8"|"23"|"17"|"0"|"2022-09-16 15:00:00"|"2022-09-19 16:00:00"|"8670"|"627740"|"203"|"5940"
"10173"|"19"|"13"|"27"|"9"|"1"|"2022-09-16 18:00:00"|"2022-09-25 16:00:00"|"22408"|"11340"|"28"|"9179"
"10175"|"4"|"0"|"28"|"9"|"1"|"2022-09-07 21:00:00"|"2022-09-18 11:00:00"|"96676"|"459960"|"351"|"4719"
"10176"|"4"|"22"|"15"|"4"|"0"|"2022-10-06 18:00:00"|"2022-10-08 17:00:00"|"58950"|"352555"|"167"|"1132"
"10178"|"0"|"17"|"1"|"7"|"0"|"2022-09-24 05:00:00"|"2022-10-02 07:00:00"|"15322"|"86923"|"103"|"5350"
"10179"|"9"|"7"|"7"|"25"|"1"|"2022-09-01 15:00:00"|"2022-09-05 11:00:00"|"62924"|"930869"|"156"|"2937"
"10181"|"7"|"22"|"12"|"13"|"1"|"2022-09-23 04:00:00"|"2022-09-30 05:00:00"|"28346"|"883705"|"99"|"6110"
"10182"|"11"|"9"|"5"|"9"|"0"|"2022-09-21 12:00:00"|"2022-10-05 23:00:00"|"78905"|"244218"|"318"|"3106"
"10183"|"15"|"16"|"26"|"19"|"1"|"2022-09-11 21:00:00"|"2022-10-09 20:00:00"|"52168"|"801225"|"564"|"8173"
"10187"|"18"|"18"|"11"|"11"|"0"|"2022-09-03 11:00:00"|"2022-09-08 18:00:00"|"4897"|"207643"|"393"|"7501"
"10189"|"10"|"29"|"13"|"33"|"0"|"2022-09-08 08:00:00"|"2022-09-13 04:00:00"|"34508"|"818355"|"521"|"5052"
"1019"|"14"|"26"|"30"|"8"|"1"|"2022-09-01 10:00:00"|"2022-10-08 08:00:00"|"41480"|"602787"|"538"|"3755"
"10192"|"19"|"29"|"18"|"24"|"1"|"2022-09-29 05:00:00"|"2022-10-04 06:00:00"|"58956"|"928448"|"124"|"4555"
"10193"|"16"|"18"|"4"|"14"|"0"|"2022-09-08 07:00:00"|"2022-10-08 02:00:00"|"65195"|"551453"|"72"|"4723"
"10194"|"20"|"30"|"31"|"25"|"0"|"2022-09-19 00:00:00"|"2022-09-27 13:00:00"|"25021"|"792515"|"430"|"6473"
"10196"|"18"|"5"|"23"|"9"|"0"|"2022-09-18 09:00:00"|"2022-10-03 20:00:00"|"37230"|"335018"|"209"|"1516"
"10197"|"4"|"32"|"7"|"16"|"1"|"2022-09-06 23:00:00"|"2022-09-08 01:00:00"|"22543"|"628953"|"20"|"8674"
"102"|"10"|"3"|"22"|"2"|"0"|"2022-09-21 15:00:00"|"2022-09-29 20:00:00"|"91170"|"120247"|"448"|"4991"
"1020"|"8"|"7"|"4"|"25"|"1"|"2022-10-02 19:00:00"|"2022-10-08 20:00:00"|"76767"|"580902"|"169"|"9944"
"10200"|"9"|"31"|"3"|"24"|"1"|"2022-09-06 21:00:00"|"2022-09-22 14:00:00"|"32073"|"513582"|"47"|"6437"
"10202"|"4"|"32"|"31"|"1"|"0"|"2022-09-13 07:00:00"|"2022-09-13 20:00:00"|"91109"|"365754"|"345"|"10"
"10203"|"4"|"1"|"31"|"18"|"0"|"2022-09-10 21:00:00"|"2022-10-07 07:00:00"|"23824"|"656756"|"248"|"4203"
"10205"|"12"|"17"|"20"|"9"|"0"|"2022-09-05 01:00:00"|"2022-09-25 17:00:00"|"44184"|"703131"|"130"|"1457"
"10209"|"16"|"31"|"32"|"20"|"0"|"2022-09-07 14:00:00"|"2022-10-07 02:00:00"|"53355"|"827729"|"203"|"9972"
"1021"|"10"|"14"|"16"|"27"|"1"|"2022-09-04 05:00:00"|"2022-09-29 17:00:00"|"13798"|"150263"|"35"|"6399"
"10210"|"10"|"23"|"21"|"22"|"0"|"2022-09-17 18:00:00"|"2022-09-23 19:00:00"|"81393"|"239186"|"128"|"5808"
"10211"|"8"|"19"|"13"|"19"|"0"|"2022-09-14 01:00:00"|"2022-09-22 12:00:00"|"33142"|"583334"|"244"|"6577"
"10212"|"4"|"26"|"7"|"18"|"1"|"2022-09-04 10:00:00"|"2022-09-05 20:00:00"|"73510"|"106289"|"194"|"123"
"10214"|"4"|"14"|"32"|"34"|"0"|"2022-09-09 03:00:00"|"2022-09-09 17:00:00"|"56759"|"728535"|"137"|"4084"
"10216"|"4"|"16"|"30"|"29"|"1"|"2022-09-13 00:00:00"|"2022-09-20 05:00:00"|"35467"|"7902"|"242"|"5330"
"10219"|"6"|"6"|"24"|"16"|"0"|"2022-09-06 03:00:00"|"2022-09-27 09:00:00"|"34021"|"278420"|"394"|"3794"
"10221"|"13"|"23"|"4"|"9"|"1"|"2022-09-06 11:00:00"|"2022-09-25 05:00:00"|"25955"|"147659"|"244"|"8147"
"10222"|"19"|"16"|"2"|"9"|"0"|"2022-09-01 14:00:00"|"2022-09-09 03:00:00"|"34236"|"152722"|"147"|"802"
"10223"|"19"|"18"|"3"|"13"|"0"|"2022-09-03 19:00:00"|"2022-09-30 16:00:00"|"52705"|"79016"|"350"|"8058"
"10229"|"4"|"12"|"14"|"2"|"0"|"2022-09-28 02:00:00"|"2022-10-11 02:00:00"|"18829"|"271557"|"114"|"3593"
"1023"|"9"|"3"|"29"|"0"|"0"|"2022-10-05 02:00:00"|"2022-10-08 01:00:00"|"89547"|"675067"|"473"|"5541"
"10230"|"8"|"0"|"12"|"0"|"1"|"2022-09-17 10:00:00"|"2022-09-30 18:00:00"|"3854"|"472737"|"146"|"2937"
"10232"|"6"|"20"|"32"|"17"|"0"|"2022-09-07 14:00:00"|"2022-09-22 14:00:00"|"6754"|"692974"|"7"|"4049"
"10233"|"8"|"10"|"8"|"10"|"0"|"2022-09-02 01:00:00"|"2022-09-19 12:00:00"|"79374"|"284198"|"364"|"587"
"10234"|"4"|"29"|"2"|"26"|"0"|"2022-09-22 08:00:00"|"2022-10-05 23:00:00"|"31840"|"402915"|"228"|"3692"
"10236"|"4"|"30"|"21"|"14"|"1"|"2022-09-24 22:00:00"|"2022-10-06 05:00:00"|"18060"|"379681"|"656"|"3098"
"10238"|"3"|"29"|"1"|"12"|"0"|"2022-09-05 06:00:00"|"2022-09-28 07:00:00"|"35119"|"822595"|"36"|"9824"
"10240"|"2"|"23"|"11"|"9"|"1"|"2022-09-25 15:00:00"|"2022-10-05 00:00:00"|"36650"|"4342"|"28"|"4136"
"10241"|"20"|"9"|"26"|"31"|"1"|"2022-09-15 09:00:00"|"2022-09-28 01:00:00"|"25332"|"969592"|"324"|"1476"
"10242"|"4"|"10"|"9"|"11"|"1"|"2022-09-10 04:00:00"|"2022-09-24 00:00:00"|"27096"|"291320"|"408"|"8219"
"10244"|"4"|"4"|"30"|"23"|"0"|"2022-09-01 12:00:00"|"2022-09-23 05:00:00"|"9890"|"175944"|"459"|"8924"
"10245"|"4"|"26"|"32"|"12"|"1"|"2022-09-30 21:00:00"|"2022-10-08 18:00:00"|"53446"|"508563"|"78"|"9951"
"10246"|"4"|"20"|"5"|"28"|"1"|"2022-09-27 06:00:00"|"2022-09-29 11:00:00"|"94117"|"177779"|"136"|"6839"
"10247"|"6"|"5"|"16"|"0"|"0"|"2022-09-02 09:00:00"|"2022-09-04 09:00:00"|"83402"|"233472"|"114"|"4003"
"10248"|"17"|"28"|"4"|"25"|"0"|"2022-09-08 09:00:00"|"2022-09-19 05:00:00"|"6605"|"136064"|"193"|"6685"
"10249"|"1"|"4"|"19"|"32"|"1"|"2022-09-08 15:00:00"|"2022-09-20 18:00:00"|"58319"|"87153"|"136"|"1899"
"10250"|"4"|"18"|"22"|"15"|"0"|"2022-09-11 01:00:00"|"2022-09-28 08:00:00"|"45703"|"566929"|"35"|"8226"
"10251"|"4"|"16"|"12"|"9"|"1"|"2022-09-12 15:00:00"|"2022-10-08 22:00:00"|"85189"|"185147"|"87"|"731"
"10252"|"10"|"21"|"31"|"9"|"0"|"2022-09-16 06:00:00"|"2022-10-02 01:00:00"|"80862"|"64546"|"730"|"3566"
"10257"|"4"|"17"|"24"|"33"|"0"|"2022-09-18 18:00:00"|"2022-09-20 13:00:00"|"85311"|"776332"|"88"|"8938"
"10258"|"4"|"25"|"2"|"20"|"1"|"2022-09-23 21:00:00"|"2022-10-04 01:00:00"|"1963"|"53642"|"546"|"6934"
"1026"|"1"|"16"|"8"|"1"|"0"|"2022-09-02 21:00:00"|"2022-09-05 06:00:00"|"95563"|"685345"|"345"|"4965"
"10261"|"13"|"9"|"1"|"12"|"0"|"2022-09-05 05:00:00"|"2022-10-10 11:00:00"|"74275"|"104063"|"26"|"6152"
"10263"|"4"|"31"|"1"|"10"|"0"|"2022-09-04 06:00:00"|"2022-09-09 06:00:00"|"24046"|"284108"|"742"|"2319"
"10264"|"14"|"15"|"23"|"4"|"1"|"2022-09-08 08:00:00"|"2022-09-18 16:00:00"|"46764"|"293339"|"375"|"7895"
"10266"|"6"|"20"|"25"|"11"|"0"|"2022-09-21 13:00:00"|"2022-10-01 20:00:00"|"9927"|"104389"|"475"|"5442"
"10268"|"3"|"13"|"1"|"17"|"0"|"2022-09-28 07:00:00"|"2022-10-11 06:00:00"|"65484"|"716036"|"78"|"7215"
"10269"|"12"|"17"|"14"|"28"|"1"|"2022-09-07 06:00:00"|"2022-09-22 10:00:00"|"33560"|"138333"|"408"|"6931"
"1027"|"3"|"0"|"27"|"15"|"0"|"2022-09-09 05:00:00"|"2022-09-26 06:00:00"|"57759"|"578104"|"326"|"9067"
"10270"|"18"|"31"|"8"|"12"|"1"|"2022-09-16 21:00:00"|"2022-10-03 10:00:00"|"30593"|"769315"|"229"|"1185"
"10271"|"7"|"13"|"25"|"34"|"0"|"2022-09-09 19:00:00"|"2022-09-10 23:00:00"|"62371"|"289876"|"495"|"6248"
"10272"|"4"|"8"|"10"|"27"|"1"|"2022-09-05 15:00:00"|"2022-09-21 08:00:00"|"65215"|"303846"|"277"|"5624"
"10274"|"4"|"32"|"20"|"10"|"1"|"2022-09-19 10:00:00"|"2022-10-10 13:00:00"|"24377"|"492267"|"203"|"7411"
"10275"|"4"|"18"|"0"|"32"|"1"|"2022-09-16 07:00:00"|"2022-10-08 07:00:00"|"24337"|"643439"|"510"|"785"
"1028"|"18"|"2"|"9"|"5"|"0"|"2022-10-02 08:00:00"|"2022-10-05 20:00:00"|"26324"|"672558"|"122"|"5317"
"10281"|"6"|"23"|"6"|"28"|"1"|"2022-09-09 00:00:00"|"2022-09-18 06:00:00"|"16408"|"851162"|"240"|"6107"
"10283"|"4"|"1"|"30"|"25"|"1"|"2022-10-06 03:00:00"|"2022-10-07 21:00:00"|"30915"|"744764"|"348"|"3789"
"10284"|"4"|"17"|"3"|"31"|"1"|"2022-09-13 17:00:00"|"2022-09-22 16:00:00"|"96706"|"222018"|"47"|"4658"
